epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,328.5,1.65749,1.45781,0.0032,0.74561,0.66667,0.72167,0.40695,2.12761,0.95575,0.00978,0.0011684,0.0011684,0.0011684
44,335.985,1.78409,1.21634,0.00288,0.74561,0.66667,0.72167,0.40695,2.12761,0.95575,0.00978,0.0011486,0.0011486,0.0011486
45,343.166,1.60638,1.12219,0.00316,0.74994,0.66648,0.7064,0.32943,2.36456,1.19869,0.011,0.0011288,0.0011288,0.0011288
46,350.88,1.55949,0.98657,0.00268,0.74994,0.66648,0.7064,0.32943,2.36456,1.19869,0.011,0.001109,0.001109,0.001109
47,361.857,1.31787,0.57144,0.00234,0.58275,0.77778,0.6381,0.18356,2.03983,2.58457,0.00876,0.0010892,0.0010892,0.0010892
48,368.282,1.49111,1.1547,0.00278,0.58275,0.77778,0.6381,0.18356,2.03983,2.58457,0.00876,0.0010694,0.0010694,0.0010694
49,375.033,1.54021,1.06097,0.00305,0.56805,0.73296,0.60178,0.13653,2.42447,2.24307,0.0107,0.0010496,0.0010496,0.0010496
50,381.566,1.58636,1.03078,0.00289,0.56805,0.73296,0.60178,0.13653,2.42447,2.24307,0.0107,0.0010298,0.0010298,0.0010298
51,388.315,1.42663,0.87255,0.0026,0.68356,0.55556,0.67045,0.16838,2.41661,2.0159,0.01026,0.00101,0.00101,0.00101
52,394.745,1.48625,0.72108,0.00248,0.68356,0.55556,0.67045,0.16838,2.41661,2.0159,0.01026,0.0009902,0.0009902,0.0009902
53,404.777,1.51677,0.69287,0.00284,0.90667,0.66667,0.82894,0.25087,2.44006,1.77151,0.01035,0.0009704,0.0009704,0.0009704
54,415.009,1.3902,0.6753,0.00271,0.90667,0.66667,0.82894,0.25087,2.44006,1.77151,0.01035,0.0009506,0.0009506,0.0009506
55,421.779,1.23693,0.75915,0.00246,1,0.86709,0.885,0.25617,2.47879,1.19528,0.01023,0.0009308,0.0009308,0.0009308
56,431.632,1.51544,0.98826,0.00262,1,0.86709,0.885,0.25617,2.47879,1.19528,0.01023,0.000911,0.000911,0.000911
57,438.124,1.31161,0.65451,0.00223,1,0.88054,0.885,0.26485,2.30374,1.28077,0.00965,0.0008912,0.0008912,0.0008912
58,444.939,1.18422,0.51586,0.00239,1,0.88054,0.885,0.26485,2.30374,1.28077,0.00965,0.0008714,0.0008714,0.0008714
59,451.674,1.11899,0.54104,0.00225,1,0.88297,0.885,0.334,2.15779,1.25165,0.00919,0.0008516,0.0008516,0.0008516
60,462.171,1.15894,0.58134,0.00204,1,0.88297,0.885,0.334,2.15779,1.25165,0.00919,0.0008318,0.0008318,0.0008318
61,472.493,1.30574,0.6371,0.00237,0.99204,0.77778,0.84269,0.36348,2.11352,1.22849,0.00944,0.000812,0.000812,0.000812
62,482.457,1.25391,0.68139,0.00234,0.99204,0.77778,0.84269,0.36348,2.11352,1.22849,0.00944,0.0007922,0.0007922,0.0007922
63,489.396,1.19262,0.54361,0.0022,0.987,0.77778,0.79646,0.37783,2.14,1.21906,0.00955,0.0007724,0.0007724,0.0007724
64,499.134,1.21394,0.50409,0.00237,0.987,0.77778,0.79646,0.37783,2.14,1.21906,0.00955,0.0007526,0.0007526,0.0007526
65,511.244,1.32971,0.48296,0.00274,0.97994,0.77778,0.775,0.39993,1.94116,1.27612,0.00843,0.0007328,0.0007328,0.0007328
66,521.458,1.07595,0.61511,0.00207,0.97994,0.77778,0.775,0.39993,1.94116,1.27612,0.00843,0.000713,0.000713,0.000713
67,528.361,1.13106,0.57418,0.00233,0.97609,0.77778,0.775,0.41941,1.85858,1.39883,0.00806,0.0006932,0.0006932,0.0006932
68,536.054,1.15209,0.58854,0.00219,0.97609,0.77778,0.775,0.41941,1.85858,1.39883,0.00806,0.0006734,0.0006734,0.0006734
69,543.553,1.05677,0.55105,0.00194,0.97035,0.66667,0.75056,0.42158,1.69831,1.48821,0.00733,0.0006536,0.0006536,0.0006536
70,553.987,1.11391,0.43144,0.00191,0.97035,0.66667,0.75056,0.42158,1.69831,1.48821,0.00733,0.0006338,0.0006338,0.0006338
71,565.125,0.98492,0.41549,0.00184,0.86035,0.77778,0.77885,0.43249,1.71051,1.34264,0.007,0.000614,0.000614,0.000614
72,572.458,0.89181,0.38231,0.00157,0.86035,0.77778,0.77885,0.43249,1.71051,1.34264,0.007,0.0005942,0.0005942,0.0005942
73,587.103,1.04099,0.4083,0.00191,0.81824,0.77778,0.77006,0.42779,1.83067,1.34909,0.00756,0.0005744,0.0005744,0.0005744
74,597.319,0.98852,0.41692,0.00178,0.81824,0.77778,0.77006,0.42779,1.83067,1.34909,0.00756,0.0005546,0.0005546,0.0005546
75,607.58,1.15909,0.41454,0.00265,0.87099,0.77778,0.7475,0.4135,1.82546,1.46879,0.00741,0.0005348,0.0005348,0.0005348
76,617.876,1.11409,0.52165,0.00216,0.87099,0.77778,0.7475,0.4135,1.82546,1.46879,0.00741,0.000515,0.000515,0.000515
77,628.291,0.99526,0.47494,0.00191,0.99539,0.77778,0.775,0.387,1.93002,1.40045,0.0082,0.0004952,0.0004952,0.0004952
78,639.757,1.09966,0.49144,0.00198,0.99539,0.77778,0.775,0.387,1.93002,1.40045,0.0082,0.0004754,0.0004754,0.0004754
79,648.422,1.08663,0.41453,0.00198,0.99474,0.77778,0.775,0.35181,2.00344,1.38055,0.00852,0.0004556,0.0004556,0.0004556
80,655.128,0.99756,0.39156,0.00194,0.99474,0.77778,0.775,0.35181,2.00344,1.38055,0.00852,0.0004358,0.0004358,0.0004358
81,662.524,1.07906,0.42813,0.00195,0.96222,0.77778,0.775,0.38177,1.96106,1.33121,0.00829,0.000416,0.000416,0.000416
82,669.047,1.11583,0.44559,0.002,0.96222,0.77778,0.775,0.38177,1.96106,1.33121,0.00829,0.0003962,0.0003962,0.0003962
83,675.358,1.07202,0.41155,0.00186,0.86317,0.77778,0.78172,0.39924,1.88796,1.3066,0.00793,0.0003764,0.0003764,0.0003764
84,681.846,0.9521,0.41605,0.00167,0.86317,0.77778,0.78172,0.39924,1.88796,1.3066,0.00793,0.0003566,0.0003566,0.0003566
85,688.301,0.87238,0.33659,0.00162,0.97167,0.77778,0.79646,0.39881,1.77646,1.35816,0.00732,0.0003368,0.0003368,0.0003368
86,694.663,1.2287,0.68984,0.00261,0.97167,0.77778,0.79646,0.39881,1.77646,1.35816,0.00732,0.000317,0.000317,0.000317
87,707.753,0.98724,0.38496,0.00159,0.97858,0.77778,0.79816,0.3971,1.7594,1.3078,0.00732,0.0002972,0.0002972,0.0002972
88,714.586,1.00174,0.35927,0.00177,0.97858,0.77778,0.79816,0.3971,1.7594,1.3078,0.00732,0.0002774,0.0002774,0.0002774
89,721.116,0.81672,0.29811,0.00145,0.98225,0.77778,0.8025,0.39129,1.81727,1.24398,0.00764,0.0002576,0.0002576,0.0002576
90,730.255,0.94611,0.36107,0.00156,0.98225,0.77778,0.8025,0.39129,1.81727,1.24398,0.00764,0.0002378,0.0002378,0.0002378
91,741.041,0.90556,0.63429,0.00168,0.98075,0.77778,0.80339,0.38299,1.92651,1.1983,0.00805,0.000218,0.000218,0.000218
92,747.435,0.74438,0.29244,0.00131,0.98075,0.77778,0.80339,0.38299,1.92651,1.1983,0.00805,0.0001982,0.0001982,0.0001982
93,754.041,1.20767,0.57344,0.00271,0.97588,0.77778,0.855,0.39051,2.00943,1.06062,0.00854,0.0001784,0.0001784,0.0001784
94,760.405,0.90636,0.42233,0.00193,0.97588,0.77778,0.855,0.39051,2.00943,1.06062,0.00854,0.0001586,0.0001586,0.0001586
95,766.921,0.91486,0.46542,0.00209,0.97212,0.77778,0.84269,0.37743,2.05771,1.07667,0.00883,0.0001388,0.0001388,0.0001388
96,779.431,1.04152,0.36701,0.00174,0.97212,0.77778,0.84269,0.37743,2.05771,1.07667,0.00883,0.000119,0.000119,0.000119
97,789.548,1.13277,0.39607,0.00221,0.96417,0.77778,0.84833,0.37753,2.07084,1.07175,0.00897,9.92e-05,9.92e-05,9.92e-05
98,796.024,0.96093,0.38875,0.00167,0.96417,0.77778,0.84833,0.37753,2.07084,1.07175,0.00897,7.94e-05,7.94e-05,7.94e-05
99,802.364,1.09425,0.43393,0.00201,0.96629,0.77778,0.84833,0.38218,2.06979,1.0762,0.00904,5.96e-05,5.96e-05,5.96e-05
100,808.89,0.98542,0.35285,0.00181,0.96629,0.77778,0.84833,0.38218,2.06979,1.0762,0.00904,3.98e-05,3.98e-05,3.98e-05
